loan_amnt,funded_amnt,funded_amnt_inv,int_rate,installment,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,bad_loans,emp_length_num,grade_num,sub_grade_num,delinq_2yrs_zero,payment_inc_ratio
10000,10000,10000,11.71,330.76,50000,16.01,0,0,6,11536.3,11536.3,10000,1536.31,0,0,0,4942.63,0,6,5,0.6,1,7.93824
6000,6000,6000,11.71,198.46,76000,2.4,0,1,7,2050.14,2050.14,1305.58,475.25,0,269.31,2.57,198.46,1,2,5,0.6,1,3.13358
15000,15000,15000,9.91,483.38,92000,29.44,0,0,8,15823.5,15823.5,15000,823.48,0,0,0,2447.05,0,3,5,0.2,1,6.30496
15000,15000,8725,14.27,514.64,60000,15.22,0,1,7,0,0,0,0,0,0,0,0,1,10,4,0.4,1,10.2928
5000,5000,5000,16.77,123.65,50004,13.97,3,0,14,1609.12,1609.12,629.05,719.11,0,260.96,2.3,123.65,1,3,3,0.4,0,2.96736
4000,4000,4000,11.71,132.31,106000,5.63,1,0,12,4484.79,4484.79,4000,484.79,0,0,0,2638.77,0,11,5,0.6,0,1.49785
8500,8500,8500,11.71,281.15,25000,12.19,0,0,8,10122.2,10122.2,8500,1622.21,0,0,0,581.59,0,1,5,0.6,1,13.4952
4375,4375,4375,7.51,136.11,17108,20.34,0,0,6,4898.54,4898.54,4375,523.54,0,0,0,144.94,0,8,6,0.6,1,9.54711
31825,31825,31825,7.9,995.82,75000,14.03,0,0,12,34886.1,34886.1,31825,3061.08,0,0,0,16966.7,0,6,6,0.8,1,15.9331
5000,5000,5000,8.9,158.77,24044,11.93,0,0,8,5714.59,5714.59,5000,714.59,0,0,0,163.64,0,3,6,1,1,7.92397
7000,7000,7000,15.96,245.97,34000,6.35,0,1,6,8848.94,8848.94,7000,1848.94,0,0,0,260.74,0,8,4,1,1,8.68129
12400,12400,12400,10.65,403.91,41000,11.8,0,2,9,14537.5,14537.5,12400,2137.46,0,0,0,417.61,0,11,5,0.4,1,11.8218
10800,10800,10800,9.91,348.03,55596,5.5,0,0,7,12157.2,12157.2,10800,1357.2,0,0,0,3483.79,0,3,5,0.2,1,7.51198
15000,15000,15000,7.9,469.36,45000,8.48,0,0,7,16662.6,16662.6,15000,1662.6,0,0,0,5872.8,0,2,6,0.8,1,12.5163
6000,6000,6000,12.42,200.5,36852,10.62,0,1,7,7125.28,7125.28,6000,1125.28,0,0,0,1923.53,0,2,5,0.8,1,6.52882
9600,9600,9600,7.51,298.67,68004,6.63,0,0,6,10749.8,10749.8,9600,1149.76,0,0,0,311.56,0,5,6,0.6,1,5.27034
12000,12000,12000,7.9,375.49,62300,16.7,0,0,15,13516.4,13516.4,12000,1516.38,0,0,0,380.98,0,11,6,0.8,1,7.23255
3000,3000,3000,18.25,108.84,65000,17.39,0,0,8,3915.03,3915.03,3000,915.03,0,0,0,115.38,0,10,3,1,1,2.00935
4400,4400,4400,16.77,156.37,55000,20.01,0,0,7,5626.89,5626.89,4400,1226.89,0,0,0,162.44,0,11,3,0.4,1,3.41171
6000,6000,6000,6.03,182.62,45600,5.34,0,1,6,6065.86,6065.86,6000,65.86,0,0,0,15.01,0,11,6,0.2,1,4.80579
14000,14000,14000,9.91,451.15,80000,10,0,1,7,16239.9,16239.9,14000,2239.91,0,0,0,457.91,0,7,5,0.2,1,6.76725
5000,5000,5000,8.9,158.77,100000,16.33,0,0,17,4914.37,4914.37,4217.38,696.99,0,0,0,158.77,1,11,6,1,1,1.90524
10000,10000,10000,10.65,325.74,27000,11.47,0,0,7,11724.6,11724.6,10000,1724.57,0,0,0,332.92,0,7,5,0.4,1,14.4773
10000,10000,10000,6.03,304.36,60000,12.74,0,1,11,10282.7,10282.7,10000,282.67,0,0,0,8762.05,0,11,6,0.2,1,6.0872
11000,11000,11000,6.62,337.75,70000,10.85,0,0,5,12157.4,12157.4,11000,1157.38,0,0,0,346.13,0,6,6,0.4,1,5.79
15000,15000,15000,9.91,483.38,80000,9.12,0,2,9,15955,15955,13556.5,2374.34,24.17,0,0,483.38,1,9,5,0.2,1,7.2507
25600,25600,25350,9.91,824.96,110000,15.71,0,0,11,29695.6,29405.6,25600,4095.62,0,0,0,838.27,0,10,5,0.2,1,8.99956
7000,7000,7000,10.65,228.02,40000,7.38,0,0,7,8205.47,8205.47,7000,1205.47,0,0,0,240.27,0,1,5,0.4,1,6.8406
12000,12000,12000,15.96,421.65,50000,20.88,0,2,11,3521.95,3521.95,1903.66,1039.35,0,578.94,5.49,421.65,1,5,4,1,1,10.1196
12000,12000,12000,9.91,386.7,46000,8.11,0,1,11,13748.2,13748.2,12000,1748.21,0,0,0,964.73,0,2,5,0.2,1,10.0878
21000,21000,20975,19.91,555.33,50000,21.58,0,1,7,18319.1,18297.3,8990.81,9328.33,0,0,0,555.33,1,8,2,0.8,1,13.3279
16000,16000,15950,19.91,423.11,81000,20.52,0,3,12,20876.1,20810.9,16000,4876.1,0,0,0,9931.02,0,8,2,0.8,1,6.2683
10000,10000,10000,12.42,334.16,39000,18.58,0,0,5,11474.8,11474.8,10000,1474.76,0,0,0,5803.94,0,1,5,0.8,1,10.2818
10000,10000,10000,10.65,325.74,51400,19.14,0,3,10,10575.9,10575.9,10000,575.94,0,0,0,8627.74,0,3,5,0.4,1,7.60482
7100,7100,7100,16.77,252.33,33000,24,0,2,4,9079.33,9079.33,7100,1979.33,0,0,0,262.78,0,2,3,0.4,1,9.17564
17675,17675,17675,14.65,417.25,50000,16.46,0,2,6,21323.4,21323.4,17675,3648.43,0,0,0,13814.8,0,1,4,0.6,1,10.014
8000,8000,8000,16.77,284.31,62000,21.64,0,3,14,10267.3,10267.3,8000,2252.27,14.9888,0,0,606.54,0,1,3,0.4,1,5.50277
3500,3500,3500,10.65,114.01,55000,5.39,0,1,9,4103.17,4103.17,3500,603.17,0,0,0,118.32,0,8,5,0.4,1,2.48749
12500,8925,8925,17.27,223.11,30000,13.16,0,0,7,5577.75,5577.75,2812.82,2742.43,0,22.5,0,223.11,1,6,3,0.6,1,8.9244
16425,16425,16425,14.27,563.53,44544,22.71,0,1,10,18172.7,18172.7,16425,1747.71,0,0,0,13108.7,0,5,4,0.4,1,15.1813
8200,8200,8200,21.28,223.14,75000,12.48,0,3,6,4173.57,4173.57,1525.83,2265.85,0,381.89,3.6,223.14,1,5,1,0.4,1,3.57024
15000,15000,15000,14.65,517.42,61000,11.88,0,1,8,18562.4,18562.4,15000,3562.4,0,0,0,2533.38,0,3,4,0.6,1,10.1788
20975,13575,13550,17.58,341.63,44000,18.79,0,0,13,18097.3,18064.1,13575,4522.34,0,0,0,9245.21,0,6,3,0.8,1,9.31718
6400,6400,6400,16.77,227.45,75000,20.22,0,0,9,4776.45,4776.45,3334.25,1431.91,0,10.29,0,227.45,1,6,3,0.4,1,3.6392
3000,3000,3000,13.49,101.8,33600,18.11,0,0,4,3246.8,3246.8,3000,246.8,0,0,0,2539.58,0,2,4,0.2,1,3.63571
12000,12000,12000,16.77,426.47,50000,20.57,0,1,13,15346.5,15346.5,12000,3346.47,0,0,0,441.52,0,4,3,0.4,1,10.2353
14400,14400,14400,8.9,457.25,150000,14.85,0,0,12,16459.5,16459.5,14400,2059.52,0,0,0,464.02,0,1,6,1,1,3.658
12000,12000,12000,14.65,413.94,90000,16.56,0,2,12,12699.5,12699.5,12000,699.48,0,0,0,11046.6,0,11,4,0.6,1,5.5192
11000,11000,11000,13.49,373.24,48000,21.82,0,3,15,13413.2,13413.2,11000,2413.22,0,0,0,1491.29,0,11,4,0.2,1,9.331
7250,7200,7175,21.67,197.51,75000,24.82,0,2,9,8201.53,8173.07,7200,1001.53,0,0,0,6824.7,0,1,1,0.6,1,3.16016
15000,15000,15000,7.9,469.36,52000,9.65,0,1,11,15557.6,15557.6,15000,557.64,0,0,0,312.74,0,2,6,0.8,1,10.8314
18000,18000,18000,19.91,475.99,65000,6.81,0,0,10,26027.5,26027.5,18000,8003.76,23.7815,0,0,10783.7,0,11,2,0.8,1,8.78751
35000,22075,22050,17.27,551.84,150000,7.51,0,1,11,28871.9,28839.3,22075,6796.92,0,0,0,15660.2,0,4,3,0.6,1,4.41472
10000,10000,10000,14.27,343.09,68000,15.39,0,1,9,10671.6,10671.6,10000,671.62,0,0,0,8962.31,0,3,4,0.4,1,6.05453
11800,11800,11800,12.69,395.83,42000,9.86,0,0,4,14243.2,14243.2,11800,2443.16,0,0,0,419.36,0,7,5,1,1,11.3094
4500,4500,4500,6.03,136.96,53000,4.44,0,0,7,4930.3,4930.3,4500,430.3,0,0,0,138.95,0,5,6,0.2,1,3.10098
7000,7000,7000,12.69,234.82,35000,11.35,0,2,10,8449.39,8449.39,7000,1449.39,0,0,0,248.19,0,11,5,1,1,8.05097
9200,9200,9200,12.42,307.43,60000,19.96,0,3,8,10480.8,10480.8,9200,1280.84,0,0,0,365.48,0,3,5,0.8,1,6.1486
4500,4500,4475,10.65,97.06,42000,5.4,0,0,4,4907.8,4880.55,4500,407.8,0,0,0,3946.24,0,1,5,0.4,1,2.77314
12000,12000,12000,16.29,423.61,88365,16.85,0,0,6,14685.4,14685.4,12000,2685.36,0,0,0,5800.45,0,10,3,0.2,1,5.75264
12000,12000,12000,13.49,407.17,72000,21.33,0,1,11,13985.7,13985.7,12000,1985.68,0,0,0,426.26,0,5,4,0.2,1,6.78617
12000,12000,12000,10.65,390.88,62000,23.94,0,0,10,12779.6,12779.6,12000,779.62,0,0,0,10046.6,0,1,5,0.4,1,7.56542
7000,7000,7000,10.65,228.02,43680,5.38,0,0,7,7687.73,7687.73,7000,687.73,0,0,0,4958.61,0,4,5,0.4,1,6.26429
8200,8200,8200,19.42,214.62,120000,2.8,0,2,5,11894.9,11894.9,8200,3694.9,0,0,0,4625.07,0,4,2,0.6,1,2.1462
10500,10500,10500,12.69,352.23,66000,20.73,1,2,8,11232.1,11232.1,10500,732.14,0,0,0,4421.32,0,11,5,1,0,6.40418
7000,7000,7000,11.71,231.54,39120,21.01,0,0,8,7932.3,7932.3,7000,932.3,0,0,0,4235.03,0,5,5,0.6,1,7.10245
20000,12800,12775,11.71,282.86,47800,10.04,0,0,15,15161.3,15131.7,12800,2361.27,0,0,0,9242.39,0,5,5,0.6,1,7.10109
17500,17500,17500,17.27,437.47,45000,21.31,0,2,13,6561.45,6561.45,3077.85,3473.25,0,10.35,0,437.47,1,8,3,0.6,1,11.6659
3500,3500,3500,6.03,106.53,83000,2.31,0,0,6,3834.66,3834.66,3500,334.66,0,0,0,107.86,0,11,6,0.2,1,1.54019
6200,6200,6200,9.91,199.8,25000,20.64,0,2,7,2452.22,2452.22,1700.79,493.16,0,258.27,2.54,199.8,1,3,5,0.2,1,9.5904
6000,6000,6000,8.9,190.52,28800,13.17,0,0,11,6857.17,6857.17,6000,857.17,0,0,0,198.47,0,9,6,1,1,7.93833
7200,7200,7200,9.91,232.02,135000,6.12,0,0,7,8350.84,8350.84,7200,1150.84,0,0,0,240.64,0,7,5,0.2,1,2.0624
9500,9500,9500,8.9,301.66,50000,8.18,0,0,8,10493.7,10493.7,9500,993.71,0,0,0,5378.43,0,8,6,1,1,7.23984
18825,18825,18800,16.77,465.53,38000,23.18,0,0,6,14897,14877.4,8087.75,6786.71,0,22.5,0,465.53,1,11,3,0.4,1,14.7009
24000,24000,24000,10.65,781.76,45000,14.8,0,0,5,28140.9,28140.9,24000,4140.93,0,0,0,791.58,0,11,5,0.4,1,20.8469
6000,6000,6000,13.49,203.59,80000,11.58,0,0,8,7326.01,7326.01,6000,1326.01,0,0,0,212.86,0,11,4,0.2,1,3.05385
6000,6000,6000,13.49,203.59,50000,15.38,0,1,6,7325.54,7325.54,6000,1325.54,0,0,0,214.39,0,6,4,0.2,1,4.88616
2100,2100,2100,12.42,70.18,30000,19.72,0,1,12,2552.49,2552.49,2100,422.49,30,0,0,72.44,0,11,5,0.8,1,2.8072
5500,5500,5500,6.62,168.88,110000,9.69,0,0,7,6077.88,6077.88,5500,577.88,0,0,0,178.58,0,9,6,0.4,1,1.84233
11000,11000,11000,6.62,337.75,45608,20.5,0,0,7,12156.9,12156.9,11000,1156.86,0,0,0,349.86,0,9,6,0.4,1,8.8866
26800,26800,26800,20.89,723.38,120000,12.15,0,0,13,32887.7,32887.7,26800,6087.69,0,0,0,23499,0,4,1,0.2,1,7.2338
8000,8000,8000,12.69,268.36,35000,10.05,0,0,7,8999.1,8999.1,8000,999.1,0,0,0,5514.5,0,6,5,1,1,9.20091
10000,10000,10000,18.25,362.78,75000,24.14,0,0,9,11501.5,11501.5,8320.22,3145.08,36.247,0,0,200,1,2,3,1,1,5.80448
8000,8000,8000,11.71,264.61,35000,9.7,0,0,7,9434.78,9434.78,8000,1434.78,0,0,0,2295.56,0,10,5,0.6,1,9.07234
10000,10000,10000,8.9,317.54,24000,7,0,0,6,10868.9,10868.9,10000,868.92,0,0,0,6743.26,0,7,6,1,1,15.877
12000,12000,12000,11.71,396.92,126000,13.32,0,0,17,14182.3,14182.3,12000,2182.3,0,0,0,3074.04,0,3,5,0.6,1,3.78019
10000,10000,10000,7.9,312.91,43000,25.26,0,0,8,11264,11264,10000,1264.01,0,0,0,4.84,0,2,6,0.8,1,8.73237
12000,12000,12000,9.91,386.7,50000,16.44,0,1,11,13920,13920,12000,1920.03,0,0,0,392.03,0,2,5,0.2,1,9.2808
19750,19750,19725,10.65,643.33,45000,22.8,0,0,12,11930.6,11915.6,8590.58,2698.78,0,641.29,6.4129,787.01,1,5,5,0.4,1,17.1555
10000,10000,10000,9.91,322.25,31200,14.81,0,0,13,10904.2,10904.2,10000,904.24,0,0,0,6912.69,0,4,5,0.2,1,12.3942
13650,13650,13650,12.42,456.12,66000,24.09,0,0,11,16011.2,16011.2,13650,2361.18,0,0,0,5980.83,0,5,5,0.8,1,8.29309
28000,11800,11775,19.91,312.04,52000,20.7,0,0,10,9040.91,9021.77,4281.54,4759.37,0,0,0,312.04,1,11,2,0.8,1,7.20092
18000,18000,18000,7.9,563.23,56964,27.55,0,0,7,20275.3,20275.3,18000,2275.34,0,0,0,567.29,0,11,6,0.8,1,11.865
2500,2500,2500,14.27,85.78,49500,10.33,0,1,7,2529.9,2529.9,2500,29.9,0,0,0,2530.74,0,8,4,0.4,1,2.07952
21000,21000,20120,20.3,559.89,70000,23.21,0,2,17,27085.4,24851.1,21000,6085.42,0,0,0,17029.8,0,11,2,1,1,9.59811
35000,35000,35000,8.9,1111.37,125000,22.71,0,0,8,40006.5,40006.6,35000,5006.55,0,0,0,1123.85,0,7,6,1,1,10.6692
10000,10000,10000,7.51,311.11,33000,9.75,0,1,9,11027.3,11027.3,10000,1027.3,0,0,0,4190.34,0,4,6,0.6,1,11.3131
7000,7000,7000,12.69,234.82,30000,15.8,0,2,7,8452.26,8452.26,7000,1452.26,0,0,0,238.06,0,1,5,1,1,9.3928
24000,24000,24000,15.96,843.3,90000,9.17,0,1,9,5895.68,5895.68,3813.57,2082.11,0,0,0,843.3,1,9,4,1,1,11.244
10625,10625,10625,7.51,330.56,23000,18.89,0,1,9,11841.9,11841.9,10625,1216.94,0,0,0,2594.01,0,6,6,0.6,1,17.2466
5000,5000,5000,14.65,172.48,24000,18.3,0,2,5,5682.08,5682.08,5000,682.08,0,0,0,3615.46,0,3,4,0.6,1,8.624
8850,8850,8850,6.62,271.73,62000,17.71,0,0,7,9781.61,9781.61,8850,931.61,0,0,0,5.67,0,11,6,0.4,1,5.25929
6375,6375,6375,7.51,198.34,44000,4.8,0,0,7,6737.55,6737.55,6375,362.55,0,0,0,2585.54,0,5,6,0.6,1,5.40927
6000,6000,6000,11.71,198.46,90000,2.97,1,0,10,7041.29,7041.29,6000,1041.29,0,0,0,2082.79,0,2,5,0.6,0,2.64613
11100,11100,11100,6.62,340.82,41000,29.85,0,1,8,8120.14,8120.14,6516.79,976.85,0,626.5,6.265,340.82,1,11,6,0.4,1,9.97522
10000,10000,10000,12.69,225.95,56000,10.82,0,1,11,12727.4,12727.4,10000,2727.43,0,0,0,5526.53,0,3,5,1,1,4.84179
6200,6200,6200,6.03,188.71,26500,18.2,0,0,6,6793.07,6793.07,6200,593.07,0,0,0,1.83,0,6,6,0.2,1,8.54536
15000,15000,15000,18.64,547.12,54000,19.69,0,2,9,19401.7,19401.7,15000,4401.72,0,0,0,4641.23,0,2,2,0.2,1,12.1582
4200,4200,4200,11.71,138.92,53000,16.91,0,0,15,5000.46,5000.46,4200,800.46,0,0,0,141.26,0,3,5,0.6,1,3.14536
14000,14000,14000,14.27,480.33,52800,7.36,0,1,9,14488,14488,14000,487.95,0,0,0,13531.9,0,5,4,0.4,1,10.9166
8875,8875,8875,7.51,276.11,38000,23.53,0,1,13,9712.65,9712.65,8875,837.65,0,0,0,4472.8,0,2,6,0.6,1,8.71926
13500,13500,13500,9.91,435.04,38000,12.38,0,1,3,15657.9,15657.9,13500,2157.94,0,0,0,307.62,0,8,5,0.2,1,13.7381
12000,12000,12000,9.91,386.7,42000,7.83,0,2,8,11234.5,11234.5,9011.72,1807.88,0,414.89,4.1489,386.7,1,3,5,0.2,1,11.0486
16000,16000,15975,19.91,423.11,55000,15.8,0,0,8,22277.3,22242.5,16000,6277.26,0,0,0,10869.8,0,5,2,0.8,1,9.23149
21600,21600,20498,19.42,565.32,60000,16.74,1,0,6,27580.8,24853.6,21600,5980.75,0,0,0,17416.5,0,9,2,0.6,0,11.3064
6000,6000,6000,10.65,195.44,87000,12.86,2,0,12,6999.43,6999.43,6000,999.43,0,0,0,1335.92,0,7,5,0.4,0,2.69572
10000,10000,10000,11.71,330.76,60000,22.08,0,0,8,5682.77,5682.77,4293.91,1388.86,0,0,0,62.38,1,9,5,0.6,1,6.6152
12000,12000,12000,16.29,423.61,80000,18.18,0,0,8,14946.6,14946.6,12000,2946.56,0,0,0,4368.56,0,6,3,0.2,1,6.35415
13475,13475,13450,13.49,309.99,25000,21.89,0,1,7,6198.89,6187.44,3516.74,2682.15,0,0,0,28,1,11,4,0.2,1,14.8795
7200,7200,7200,12.42,240.59,48000,17.43,0,1,7,8677.16,8677.16,7200,1462.16,15,0,0,19.26,0,6,5,0.8,1,6.01475
5600,5600,5600,14.65,193.17,85000,12.24,1,3,8,1350.86,1350.86,905.39,445.47,0,0,0,193.17,1,2,4,0.6,0,2.72711
12000,12000,11975,14.27,411.71,57000,10.86,0,1,7,14396.6,14366.6,12000,2396.58,0,0,0,5359.38,0,1,4,0.4,1,8.66758
8500,8500,8500,6.03,258.71,25000,1.73,0,0,6,9074.73,9074.73,8500,574.73,0,0,0,4936.27,0,3,6,0.2,1,12.4181
8000,8000,8000,9.91,257.8,34000,18.28,0,0,6,9279.81,9279.81,8000,1279.81,0,0,0,262.31,0,3,5,0.2,1,9.09882
8000,8000,8000,12.42,267.33,40000,15,0,0,10,9622.78,9622.78,8000,1622.78,0,0,0,269.73,0,11,5,0.8,1,8.0199
15000,15000,15000,17.27,536.81,44400,3.59,1,0,6,17991.5,17991.5,15000,2991.53,0,0,0,9412.4,0,3,3,0.6,0,14.5084
10000,10000,10000,9.91,322.25,30000,11.24,0,1,8,11386.4,11386.4,10000,1386.43,0,0,0,369.43,0,3,5,0.2,1,12.89
10000,10000,10000,6.62,307.04,70000,16.78,0,0,9,10902.9,10902.9,10000,902.91,0,0,0,4152.52,0,6,6,0.4,1,5.26354
8000,8000,8000,14.65,275.96,28000,12.6,0,1,8,8636.82,8636.82,8000,636.82,0,0,0,6983.56,0,4,4,0.6,1,11.8269
22000,22000,22000,9.91,708.95,50000,13.22,0,4,17,25521.1,25521.1,22000,3521.1,0,0,0,1430.05,0,3,5,0.2,1,17.0148
6000,6000,6000,14.27,205.86,94800,24.53,0,1,13,7215.05,7215.05,6000,1215.05,0,0,0,1960.88,0,11,4,0.4,1,2.60582
2500,2500,2500,7.51,77.78,12000,16.3,0,2,13,1838.88,1838.88,1575.06,253.74,0,10.08,0,77.78,1,0,6,0.6,1,7.778
13500,13500,13500,9.91,435.04,36000,22.93,0,1,13,15621.3,15621.3,13500,2121.27,0,0,0,1706.24,0,3,5,0.2,1,14.5013
25000,25000,25000,12.42,835.39,225000,8.32,1,0,11,30071.7,30071.7,25000,5071.73,0,0,0,842.08,0,3,5,0.8,0,4.45541
10000,10000,10000,13.49,339.31,45900,24.97,0,2,10,12174.5,12174.5,10000,2174.48,0,0,0,1669.38,0,3,4,0.2,1,8.87085
2500,2500,2500,13.49,84.83,27200,6.44,0,0,6,3050.28,3050.28,2500,550.28,0,0,0,95.98,0,5,4,0.2,1,3.7425
7325,7325,7325,12.69,245.72,42000,22.57,0,3,12,8844.7,8844.7,7325,1519.7,0,0,0,249.25,0,2,5,1,1,7.02057
4000,4000,4000,12.42,133.67,135000,12.12,0,3,11,4337.11,4337.11,4000,337.11,0,0,0,3270.11,0,6,5,0.8,1,1.18818
10000,10000,10000,13.49,339.31,65000,6.92,1,2,12,9270.84,9270.84,6799.56,2011.75,0,459.53,4.4878,339.31,1,6,4,0.2,0,6.26418
7750,7750,7750,17.27,277.36,24000,16.1,0,1,4,6934,6934,4935.39,1986.7,0,11.91,0,277.36,1,1,3,0.6,1,13.868
20000,20000,20000,20.89,539.84,70000,16.63,0,1,10,5425.96,5425.96,1318.27,3034.08,0,1073.61,10.48,591.09,1,7,1,0.2,1,9.2544
9600,9600,9600,12.42,320.79,65000,11.65,0,0,6,11337.7,11337.7,9600,1737.71,0,0,0,3643.9,0,11,5,0.8,1,5.92228
21000,21000,21000,11.71,464.07,60000,6.62,0,0,7,3708.24,3708.24,2142.87,1565.37,0,0,0,464.07,1,4,5,0.6,1,9.2814
14000,14000,14000,10.65,456.03,30000,15.52,0,0,7,15200.1,15200.1,14000,1200.08,0,0,0,10643.2,0,4,5,0.4,1,18.2412
13350,13350,13350,12.42,446.1,43000,20.57,0,0,7,16058.4,16058.4,13350,2708.39,0,0,0,449.39,0,11,5,0.8,1,12.4493
15000,15000,15000,16.77,533.08,42000,19.63,0,2,10,13373.8,13373.8,8365.66,3923.4,0,1084.71,40.7831,188.69,1,11,3,0.4,1,15.2309
15000,15000,15000,17.27,536.81,75000,16.03,0,0,10,10198.4,10198.4,6944.85,3238.39,0,15.16,5.64,536.81,1,9,3,0.6,1,8.58896
35000,35000,35000,10.65,1140.07,168000,3.17,1,1,16,38059.8,38059.8,35000,3059.76,0,0,0,272.59,0,3,5,0.4,0,8.14336
9000,9000,9000,10.65,293.16,74000,8.89,0,0,7,10552.8,10552.8,9000,1552.79,0,0,0,6.65,0,10,5,0.4,1,4.75395
16000,16000,16000,12.69,536.72,58500,20.64,0,0,8,12295.7,12295.7,9479.47,2778.95,26.8355,10.47,1.7799,528.58,1,2,5,1,1,11.0096
13500,13500,13500,12.69,452.86,71000,11.97,0,2,4,16301.5,16301.5,13500,2801.55,0,0,0,456.95,0,6,5,1,1,7.65397
24000,24000,24000,12.69,805.08,75000,11.6,0,0,10,28978.7,28978.7,24000,4978.68,0,0,0,819.13,0,11,5,1,1,12.8813
12000,12000,12000,10.65,390.88,60000,10.84,0,1,12,14070.4,14070.4,12000,2070.4,0,0,0,396.1,0,6,5,0.4,1,7.8176
28000,28000,27975,17.58,704.64,140000,12.07,0,1,13,28411.2,28385.8,28000,411.15,0,0,0,28412.4,0,6,3,0.8,1,6.03977
14000,14000,14000,6.62,429.86,66000,11.15,0,1,7,15450.1,15450.1,14000,1450.08,0,0,0,2133.17,0,11,6,0.4,1,7.81564
12000,12000,12000,14.27,411.71,70000,8.4,0,1,7,4241.16,4241.16,2534.26,1163.48,0,543.42,5.32,411.71,1,9,4,0.4,1,7.05789
25000,25000,25000,11.71,826.9,100000,6.88,0,1,8,29277.6,29277.6,25000,4277.57,0,0,0,1122.55,0,11,5,0.6,1,9.9228
9000,9000,9000,12.69,301.91,50000,17.81,0,1,13,10867.2,10867.2,9000,1867.21,0,0,0,306.11,0,6,5,1,1,7.24584
13250,13250,13250,10.65,431.6,35000,24.93,0,2,11,15535.9,15535.9,13250,2285.93,0,0,0,437.68,0,5,5,0.4,1,14.7977
20000,20000,20000,13.49,678.61,75000,22.38,0,1,7,23861.6,23861.6,20000,3861.58,0,0,0,8269.74,0,7,4,0.2,1,10.8578
3000,3000,3000,14.65,103.49,71000,21.84,0,1,4,3723.94,3723.94,3000,723.94,0,0,0,107.29,0,6,4,0.6,1,1.74913
