int_rate,installment,open_acc,revol_bal,revol_util,total_acc,bad_loans,grade_num
12.69,395.83,4,8940,74.8,13,0,5
6.03,136.96,7,8630,13.9,17,0,6
12.69,234.82,10,7649,82.3,26,0,5
12.42,307.43,8,23299,78.7,19,0,5
10.65,97.06,4,8220,78.3,9,0,5
16.29,423.61,6,22936,96.4,15,0,3
13.49,407.17,11,3419,27.6,19,0,4
10.65,390.88,10,20310,78.4,51,0,5
10.65,228.02,7,6245,78.1,11,0,5
19.42,214.62,5,10392,88.4,6,0,2
12.69,352.23,8,5790,51.2,26,0,5
11.71,231.54,8,9414,52.4,26,0,5
11.71,282.86,15,16447,46.3,27,0,5
17.27,437.47,13,20129,86.1,26,1,3
6.03,106.53,6,3092,13.4,28,0,6
9.91,199.8,7,6533,47.7,12,1,5
8.9,190.52,11,5269,36.8,13,0,6
9.91,232.02,7,16627,79.6,18,0,5
8.9,301.66,8,13422,60.5,13,0,6
16.77,465.53,6,11004,79.7,7,1,3
10.65,781.76,5,24708,55.2,9,0,5
13.49,203.59,8,15499,83.8,16,0,4
13.49,203.59,6,15191,91.5,7,0,4
12.42,70.18,12,12183,82.9,26,0,5
6.62,168.88,7,14136,21.9,26,0,6
6.62,337.75,7,10677,58.7,11,0,6
20.89,723.38,13,14772,48,18,0,1
12.69,268.36,7,6842,97.7,18,0,5
18.25,362.78,9,22828,96.3,26,1,3
11.71,264.61,7,6142,46.5,8,0,5
8.9,317.54,6,6734,49.5,21,0,6
11.71,396.92,17,32711,54.1,38,0,5
7.9,312.91,8,8215,37.2,16,0,6
9.91,386.7,11,14335,29.3,25,0,5
10.65,643.33,12,16576,54.2,28,1,5
9.91,322.25,13,5540,27,19,0,5
12.42,456.12,11,8933,56.5,34,0,5
19.91,312.04,10,29178,87.6,16,1,2
7.9,563.23,7,17381,76.6,20,0,6
14.27,85.78,7,9868,37.7,20,0,4
20.3,559.89,17,12508,70.7,25,0,2
8.9,1111.37,8,9051,34.8,32,0,6
7.51,311.11,9,68,0.6,19,0,6
12.69,234.82,7,15455,47.6,11,0,5
15.96,843.3,9,30952,71.2,23,1,4
7.51,330.56,9,7114,43.4,21,0,6
14.65,172.48,5,2429,33.3,9,0,4
6.62,271.73,7,9466,35.9,19,0,6
7.51,198.34,7,6324,58,11,0,6
11.71,198.46,10,8489,56.6,23,0,5
6.62,340.82,8,17518,62.3,18,1,6
12.69,225.95,11,10081,31.2,18,0,5
6.03,188.71,6,2982,16,18,0,6
18.64,547.12,9,15183,90.3,12,0,2
11.71,138.92,15,8336,79.7,22,0,5
14.27,480.33,9,13378,70.8,14,0,4
7.51,276.11,13,19056,62.1,27,0,6
9.91,435.04,3,16023,67.3,7,0,5
9.91,386.7,8,9749,65.4,16,1,5
19.91,423.11,8,7743,72.4,19,0,2
19.42,565.32,6,13354,78.1,21,0,2
10.65,195.44,12,11739,40.5,22,0,5
11.71,330.76,8,5626,29.3,26,1,5
16.29,423.61,8,29609,97.2,11,0,3
13.49,309.99,7,9943,65.8,14,1,4
12.42,240.59,7,16450,80.2,10,0,5
14.65,193.17,8,6812,90.8,31,1,4
14.27,411.71,7,9273,81.5,11,0,4
6.03,258.71,6,2463,28,18,0,6
9.91,257.8,6,7434,78.5,7,0,5
12.42,267.33,10,18601,88.2,11,0,5
17.27,536.81,6,4582,91.6,16,0,3
9.91,322.25,8,9152,66.8,30,0,5
6.62,307.04,9,10770,69,18,0,6
14.65,275.96,8,6187,54.3,11,0,4
9.91,708.95,17,21470,49.8,32,0,5
14.27,205.86,13,71890,95.9,30,0,4
7.51,77.78,13,4853,42.2,20,1,6
9.91,435.04,13,25011,67.2,15,0,5
12.42,835.39,11,30449,34.6,23,0,5
13.49,339.31,10,8936,48.3,12,0,4
13.49,84.83,6,3473,68.1,6,0,4
12.69,245.72,12,7281,65,29,0,5
12.42,133.67,11,29311,85.7,21,0,5
13.49,339.31,12,14292,69.5,17,1,4
17.27,277.36,4,2348,67.1,7,1,3
20.89,539.84,10,10470,79.9,24,1,1
12.42,320.79,6,11279,70.9,11,0,5
11.71,464.07,7,10543,79.9,11,1,5
10.65,456.03,7,15542,65.6,14,0,5
12.42,446.1,7,11531,95.3,15,0,5
16.77,533.08,10,8238,74.9,38,1,3
17.27,536.81,10,13505,75.9,17,1,3
10.65,1140.07,16,1099,1.4,22,0,5
10.65,293.16,7,7388,71.7,10,0,5
12.69,536.72,8,26224,89.3,10,1,5
12.69,452.86,4,6681,77.7,11,0,5
12.69,805.08,10,21609,84.6,33,0,5
10.65,390.88,12,11849,48.8,18,0,5
17.58,704.64,13,2686,13.4,24,0,3
6.62,429.86,7,12095,35.4,46,0,6
14.27,411.71,7,11546,86.2,12,1,4
11.71,826.9,8,21128,89.1,18,0,5
12.69,301.91,13,12752,55.4,21,0,5
10.65,431.6,11,13392,58.7,25,0,5
13.49,678.61,7,19548,90.8,17,0,4
14.65,103.49,4,15072,88.7,14,0,4
10.65,239.42,5,15587,77.5,5,0,5
15.27,400.18,7,8969,76.7,14,0,4
12.42,456.12,12,16140,73.4,34,1,5
16.29,370.66,7,5379,55.5,8,1,3
9.91,386.7,7,12168,85.7,21,0,5
8.9,190.52,9,13683,64.8,16,0,6
15.27,400.18,9,13147,90,11,0,4
12.42,233.91,6,25334,71.6,31,0,5
15.27,69.6,7,18115,96.4,11,0,4
13.49,394.45,17,19979,84.7,31,0,4
14.27,517.21,7,10570,89.6,14,1,4
15.27,184.43,11,7855,82.7,13,0,4
6.62,251.77,7,2573,25.5,11,0,6
12.42,400.99,10,11243,75,25,0,5
14.27,296.78,14,6602,58.9,23,0,4
12.42,400.99,14,16550,51.1,61,0,5
12.69,318.68,14,23729,75.3,42,1,5
13.49,251.09,5,5199,92.8,13,0,4
13.49,488.6,15,23317,65,26,0,4
23.91,519.76,7,31992,99,20,0,0
16.77,642.96,5,7560,72.7,14,1,3
11.71,154.69,10,45449,90.9,23,1,5
7.51,124.45,10,10032,50.7,24,0,6
17.27,53.69,6,14186,97.8,14,0,3
12.42,654.94,8,20355,50.1,12,0,5
11.71,82.69,5,2668,66.7,13,0,5
12.69,335.45,5,6035,70.2,6,1,5
6.62,307.04,15,10133,70.4,40,0,6
12.42,141.18,6,4055,73.7,12,0,5
7.9,109.52,6,15472,55.5,19,0,6
6.62,368.45,7,9873,80.3,21,0,6
8.9,523.93,6,13917,38.8,24,0,6
21.67,603.5,9,20154,79.4,27,0,1
14.65,413.94,15,17972,71,38,0,4
12.42,360.89,14,18467,74.5,23,0,5
12.42,467.82,5,17212,97.8,19,0,5
13.49,203.59,8,7361,83.6,14,0,4
9.91,386.7,11,17536,67.7,21,0,5
12.42,334.16,14,10177,51.6,19,0,5
7.9,250.33,16,15988,55.9,31,0,6
9.91,455.18,12,19472,66,20,0,5
12.69,469.63,10,13579,64.5,18,0,5
17.27,224.36,8,7411,50.1,12,0,3
19.03,146.69,30,6654,22.6,56,0,2
12.69,134.18,5,8546,79.7,13,1,5
6.03,319.58,8,10729,18.7,16,0,6
7.9,172.1,10,9130,43.3,23,0,6
11.71,243.11,13,24782,77.9,23,0,5
12.42,334.16,7,11691,90.6,19,1,5
7.51,373.33,7,18913,43,17,0,6
11.71,176.79,13,2751,34.4,29,0,5
8.9,142.89,10,9127,24.4,20,0,6
12.42,601.48,9,14810,66.1,27,0,5
13.49,407.17,8,10790,80.5,13,0,4
13.49,339.31,5,8899,47.6,15,0,4
7.9,187.75,8,19071,30.3,29,0,6
12.69,402.54,9,16273,55.5,23,0,5
8.9,381.04,8,13088,83.5,16,1,6
11.71,231.54,7,22196,94.1,17,0,5
18.64,690.56,16,31071,53,50,0,2
7.9,43.81,5,2016,9.9,7,0,6
13.49,368.08,6,19184,58.5,14,1,4
9.91,103.12,5,2795,33.3,17,0,5
7.9,250.33,4,2440,34.4,11,0,6
12.69,268.32,8,13932,94.1,28,1,5
6.03,152.18,6,1779,4,14,0,6
6.62,55.27,5,1792,39.8,12,0,6
8.9,1111.37,7,16720,61.5,13,0,6
8.9,571.56,6,17769,66.3,10,0,6
7.9,438.07,5,15846,63.9,10,1,6
12.42,167.08,14,13543,54.2,26,0,5
15.96,281.1,10,24072,91.9,30,0,4
6.03,304.36,7,27644,45.2,17,0,6
7.51,311.11,8,6592,25.7,25,0,6
12.42,400.99,10,8198,75.7,13,0,5
7.9,725.94,10,36381,47,34,0,6
15.27,167.03,13,22195,73.7,18,0,4
11.71,241.46,10,9628,44.6,17,0,5
9.91,335.14,7,11624,80.6,19,0,5
9.91,212.69,10,2171,27.8,30,0,5
8.9,381.04,12,13756,37.4,20,0,6
17.27,474.19,8,15002,91.5,18,0,3
11.71,396.92,11,9558,56.2,21,0,5
9.91,805.63,5,23712,49.4,10,0,5
10.65,195.44,5,13626,48.5,9,0,5
7.51,373.33,7,15433,55.6,34,0,6
11.71,476.3,10,19983,48.4,16,0,5
12.42,334.16,13,13034,65.5,33,0,5
11.71,264.61,5,9722,56.2,8,0,5
16.29,282.41,9,5106,72.9,12,1,3
12.42,673.72,7,1159,3.2,14,1,5
16.77,445.13,7,11147,73.4,20,1,3
11.71,438.26,16,10014,67.2,21,0,5
14.27,480.33,8,11546,96.2,11,0,4
20.3,533.23,16,32137,83.1,32,1,2
16.29,353.01,7,11665,96.4,18,0,3
6.03,121.75,7,2189,43.8,18,0,6
9.91,418.93,8,9599,81.3,14,0,5
12.69,939.26,7,5739,67.5,15,0,5
13.49,339.31,9,16462,79.1,20,0,4
7.9,625.81,8,14386,74.9,10,0,6
9.91,580.05,8,12371,62.5,22,0,5
19.91,238,17,21321,91.1,30,1,2
11.71,330.76,6,6621,88.3,9,0,5
6.03,127.83,7,4228,12.9,16,0,6
15.27,478.64,8,25161,80.3,21,1,4
16.29,847.21,7,16318,69.4,13,0,3
15.27,155.72,17,4489,33.5,29,0,4
12.42,400.99,12,18682,80.8,18,0,5
12.42,167.08,8,7980,89.7,40,1,5
6.03,91.31,7,9616,29.4,15,0,6
9.91,386.7,10,11774,75.5,17,1,5
15.27,695.96,6,6855,52.7,12,0,4
13.49,339.31,8,6046,68.7,10,0,4
12.42,501.23,14,68319,74.9,41,0,5
7.9,375.49,10,18125,57.7,15,0,6
11.71,208.38,6,6274,84.3,11,0,5
17.27,578.71,11,3761,23.5,79,0,3
15.96,200.45,13,4479,7.7,21,0,4
11.71,330.76,11,7346,59.6,23,1,5
8.9,762.08,14,3885,8.1,31,1,6
12.69,483.05,8,12248,79.5,13,0,5
14.65,206.97,7,6546,88.5,13,0,4
15.96,773.03,16,26721,85.1,32,0,4
11.71,396.92,11,22059,68.5,17,1,5
16.77,568.62,17,23096,64.2,34,0,3
10.65,325.74,15,30660,59.4,22,0,5
12.69,335.45,10,10472,84.6,15,1,5
13.49,118.76,14,6943,54.2,37,0,4
9.91,309.36,8,10980,79,16,0,5
7.9,309,11,24129,63.7,16,0,6
17.58,427.19,13,18723,81.8,16,0,3
7.9,150.2,7,2936,26,13,0,6
6.03,237.4,7,3878,6.2,12,0,6
14.27,686.18,6,12377,89,14,0,4
7.51,303.34,9,13275,51.7,19,1,6
15.96,365.67,13,46957,67,38,0,4
6.03,152.18,7,5881,25.6,16,0,6
14.65,310.45,21,10464,50,51,0,4
7.9,225.29,11,5862,46.1,14,0,6
15.27,869.95,7,18223,70.6,23,0,4
15.96,351.38,9,23870,77.2,19,0,4
12.69,297.72,9,13003,71.1,13,1,5
11.71,514.34,9,22455,89.8,16,0,5
12.69,251.59,15,5927,35.5,22,0,5
8.9,281.81,10,8890,69.5,23,0,6
17.27,161.05,3,3424,68.5,3,0,3
12.42,193.81,9,6558,66.9,20,0,5
11.71,330.76,8,11145,47.4,17,0,5
9.91,322.25,11,10898,88.6,28,0,5
11.71,463.07,6,13008,57.9,8,0,5
8.9,381.04,9,5329,59.2,12,1,6
7.9,750.97,9,26098,45,22,0,6
14.27,480.33,10,7085,59,14,0,4
8.9,381.04,7,14573,72.2,24,0,6
12.69,338.93,7,16876,65.7,17,1,5
12.69,270.04,4,12000,81.3,7,1,5
10.65,182.42,11,2238,12.4,25,0,5
9.91,241.69,14,7790,57.3,18,0,5
11.71,231.54,13,28060,93.8,25,0,5
7.9,168.97,5,8855,77,15,0,6
12.42,534.65,11,22488,65.2,19,0,5
12.42,619.26,9,15523,25,38,0,5
7.9,121.38,6,2192,10,15,1,6
16.29,345.95,14,21366,44.9,18,0,3
6.62,153.52,7,15175,56,18,0,6
11.71,327.46,4,7911,88.9,11,0,5
11.71,132.31,4,1593,54.9,6,0,5
11.71,496.14,5,9368,82.2,9,0,5
15.96,219.61,5,5771,88.8,12,0,4
16.29,225.93,6,5866,94.6,14,0,3
15.27,417.58,10,15723,61,34,0,4
8.9,476.3,6,5649,25.2,10,0,6
14.27,223.01,5,10843,81.5,9,0,4
15.96,281.1,10,7634,81.2,18,0,4
14.65,517.42,8,11736,74.3,14,0,4
14.27,349.96,7,9428,80.6,10,0,4
12.42,300.74,7,4012,47.2,17,0,5
16.29,229.46,11,10075,92.4,17,0,3
21.28,625.86,9,9826,99.3,35,0,1
7.9,62.59,8,2058,79.2,13,0,6
13.49,271.45,11,6266,44.1,21,0,4
7.51,276.11,11,29470,83.7,27,0,6
18.64,54.72,10,1497,99.8,15,1,2
12.42,267.33,4,12035,85.4,11,0,5
14.65,399.55,10,21513,74.9,16,1,4
11.71,215,5,10139,63.8,11,0,5
13.49,325.74,12,7387,84.9,27,0,4
7.9,312.91,12,10763,50.1,17,0,6
12.42,501.23,8,10746,53.7,17,0,5
6.62,276.34,7,14022,44,17,0,6
7.9,312.91,7,10638,69.1,23,0,6
14.65,34.5,3,2510,83.7,8,1,4
7.9,438.07,8,13581,62.3,28,0,6
14.27,291.63,15,9354,61.5,27,1,4
15.96,158.12,20,18611,76.6,34,0,4
7.51,93.34,10,38905,56,19,0,6
9.91,322.25,7,21440,68.1,35,0,5
15.27,250.55,16,9119,96,24,0,4
11.71,397.77,6,12806,68.8,12,1,5
7.9,719.68,11,17564,60.8,37,0,6
8.9,222.28,7,8717,76.5,18,0,6
12.69,704.45,11,30361,63,24,0,5
7.51,256.67,17,7521,10.4,37,0,6
9.91,418.93,10,22554,75.9,18,0,5
6.62,552.67,8,16136,25,13,0,6
6.03,219.14,6,3859,6,20,0,6
8.9,523.93,7,21329,87.1,25,0,6
7.9,254.24,13,19296,63.6,21,0,6
7.51,584.89,14,14477,17.3,24,0,6
19.03,982.79,12,26919,98,31,0,2
7.9,600.78,13,28727,72.2,24,0,6
17.58,213.28,4,5595,86.1,7,0,3
12.42,133.67,11,11130,52.7,16,0,5
16.29,141.21,7,8247,83.5,13,0,3
9.91,386.7,5,17229,74.9,10,0,5
11.71,86.83,8,8343,65.2,21,0,5
9.91,225.58,10,16783,38.1,10,0,5
12.69,379.06,9,18905,74.7,22,0,5
9.91,128.9,12,13212,85,22,0,5
6.03,243.49,18,7764,6.8,47,0,6
18.25,522.41,5,8092,79.3,9,1,3
12.42,146.2,3,2847,74.9,5,0,5
7.51,127.56,7,24138,72.1,12,0,6
8.9,190.52,8,3917,31.4,14,0,6
6.62,122.82,13,11947,24.4,31,0,6
10.65,97.72,8,23964,64.6,35,1,5
12.69,181.15,6,10376,68.7,33,0,5
16.29,529.51,12,40370,84.1,24,1,3
18.64,514.86,8,11952,88.5,13,0,2
12.69,348.87,6,13695,90.1,21,0,5
17.58,113.25,8,13739,67.7,13,0,3
12.42,384.28,8,10838,89.6,15,0,5
6.62,307.04,19,3548,5.9,40,0,6
13.49,309.42,8,17404,74.4,12,0,4
8.9,114.32,8,9550,65.9,18,0,6
11.71,292.81,7,6149,10.4,10,0,5
18.25,428.9,10,10296,38.4,18,0,3
17.27,357.88,7,6754,92.5,16,1,3
18.25,544.17,10,17258,89.1,28,0,3
11.71,264.61,12,15938,35.7,29,0,5
16.77,443.89,10,22388,82.9,19,0,3
7.9,500.65,8,29485,81,28,1,6
10.65,260.59,9,9004,15.7,10,0,5
7.51,224,12,16106,83.5,32,0,6
7.51,373.33,16,13715,51.8,25,0,6
15.27,76.56,3,10130,83.7,7,1,4
12.42,628.81,10,23199,58.7,31,0,5
7.51,186.67,8,22282,62.4,23,0,6
8.9,165.68,16,20888,37.6,40,1,6
15.27,501.09,3,62,7.7,3,0,4
19.03,355.62,11,29665,97.4,28,0,2
8.9,446.14,9,2217,18.8,13,0,6
13.49,203.59,5,6704,94.4,19,0,4
20.3,619.88,10,18515,76.5,40,1,2
7.9,329.33,4,10881,68.9,9,0,6
15.96,252.99,2,1884,94.2,7,0,4
10.65,340.24,8,8,0.1,27,0,5
13.49,407.17,15,14582,74.4,27,0,4
11.71,396.92,10,17590,79.6,11,0,5
11.71,99.23,6,10014,83.4,13,0,5
16.29,335.36,9,18757,79.5,40,0,3
12.42,660.79,10,19672,61.1,15,0,5
14.65,283.28,14,16664,89.4,28,1,4
14.27,655.44,9,17936,68.1,29,0,4
12.42,1002.46,8,22177,94,33,0,5
10.65,521.18,8,8705,89.7,19,0,5
14.65,500.17,17,15077,46.7,28,0,4
14.65,276.2,12,7203,39.8,21,0,4
10.65,135.18,7,4255,25,8,0,5
16.77,852.93,10,9043,91.2,13,0,3
12.42,710.08,8,14899,69.3,21,1,5
14.27,343.09,9,19535,71.3,18,0,4
18.25,638.25,13,14608,72,29,0,3
15.96,140.55,6,8038,93.5,15,0,4
11.71,496.14,11,14615,70.8,15,0,5
17.58,377.49,5,7717,81.2,10,0,3
15.96,126.5,5,3447,52.2,6,0,4
15.27,521.97,7,12333,75.2,18,1,4
7.51,385,13,13538,52.1,34,0,6
12.69,134.18,8,1296,5.5,20,1,5
10.65,423.46,13,13810,40.6,15,0,5
6.62,153.52,6,3305,18.5,30,0,6
15.96,175.69,11,32705,53.3,14,0,4
11.71,859.98,4,25215,94.8,16,0,5
19.91,105.78,5,3722,22.4,11,1,2
7.9,250.33,9,6290,34.1,15,0,6
7.9,53.2,9,16333,91.2,27,1,6
9.91,515.6,9,13577,66.2,26,0,5
9.91,424.06,14,7747,15.4,20,0,5
14.65,413.94,14,13239,60.2,33,1,4
11.71,231.54,12,7299,84.1,33,0,5
20.3,213.29,10,9870,95,24,1,2
16.29,458.91,4,6901,93.3,8,1,3
21.28,544.23,12,23789,75.5,43,0,1
13.49,610.75,16,14828,46.6,37,0,4
16.29,353.01,8,12603,92,15,0,3
15.27,532.49,9,15695,77.7,23,0,4
17.58,603.98,10,3343,25.3,20,1,3
12.42,374.26,8,25673,74.4,13,1,5
10.65,228.02,11,4170,94.8,13,0,5
6.03,243.49,8,8311,12.4,12,0,6
16.77,556.41,7,23080,84.5,12,0,3
17.27,429.45,9,15037,88.5,19,0,3
14.65,758.88,11,20666,92.3,28,0,4
10.65,201.96,10,18210,55.2,11,0,5
9.91,512.38,7,20393,64.5,15,0,5
8.9,158.77,9,8901,53,32,0,6
6.62,491.26,10,1935,3.2,24,0,6
11.71,165.38,3,4263,61.8,3,0,5
15.27,109.62,6,2124,28.2,10,0,4
14.27,411.71,9,8738,68.5,10,1,4
7.9,876.13,7,11849,24.8,23,1,6
12.42,167.08,9,13091,82.3,26,0,5
9.91,96.68,3,5289,33.3,3,0,5
7.9,93.88,4,3413,85.3,18,1,6
6.62,257.92,9,8993,36.1,19,0,6
10.65,228.02,14,6992,72.8,23,0,5
19.03,622.97,6,20168,85.8,12,0,2
17.27,400.82,2,7661,95.8,5,0,3
11.71,231.54,10,14450,93.2,32,0,5
19.42,162.27,10,9035,92.2,19,0,2
23.91,1005.06,7,28427,98.2,31,1,0
16.77,426.47,11,8022,92.2,20,0,3
6.62,368.45,10,14924,60.9,31,0,6
13.49,352.88,9,13157,73.1,13,0,4
12.69,167.73,3,7525,66.6,15,0,5
17.27,300.62,8,9083,89.5,9,0,3
21.67,658.36,12,15893,88.8,24,0,1
12.42,668.31,10,17489,95.6,29,0,5
13.49,373.24,6,5524,65,16,0,4
11.71,396.92,5,11826,85.7,20,0,5
11.71,661.52,15,23622,55.3,26,0,5
17.58,258.79,11,10541,94.1,17,0,3
7.9,1062.31,13,93812,59.6,29,0,6
16.77,311.59,9,11807,78.7,11,0,3
11.71,496.14,17,10747,56.5,40,0,5
12.69,142.57,14,9436,57.2,16,0,5
9.91,225.58,7,3839,58.2,36,0,5
15.96,52.71,11,35131,85.7,27,0,4
7.9,782.26,6,0,0,14,0,6
20.3,415.92,9,15678,80.8,22,0,2
12.69,451.9,5,11376,56,21,0,5
13.49,460.1,7,13788,52.4,10,1,4
8.9,381.04,9,18433,76.8,30,0,6
12.69,335.45,8,15531,96.5,11,0,5
19.03,150.56,6,10734,94.2,33,0,2
12.42,80.2,20,5703,23.5,39,0,5
14.65,663.35,7,14692,62.8,23,0,4
6.62,138.17,7,19911,75.1,20,0,6
10.65,156.36,9,7149,70.1,19,0,5
7.9,156.46,14,16394,50.6,24,0,6
10.65,586.32,10,20893,61.6,22,0,5
7.51,777.78,10,44261,71.3,31,0,6
7.9,563.23,4,14272,81.1,21,0,6
15.96,210.83,7,7600,82.6,11,0,4
13.49,916.13,3,27705,92.3,5,0,4
9.91,96.68,5,6283,52.4,25,0,5
10.65,325.74,9,18860,55.5,10,0,5
14.65,349.26,12,12410,69.7,19,0,4
12.42,267.33,13,11316,89.1,25,0,5
9.91,322.25,7,8506,61.6,11,0,5
21.67,592.53,7,14501,93,25,0,1
10.65,390.88,7,26493,88.4,25,0,5
15.27,208.79,12,21477,72.8,18,0,4
16.29,494.21,5,18181,95.7,12,0,3
14.27,274.48,9,7626,80.3,18,0,4
12.69,268.36,14,9471,36.6,28,0,5
8.9,666.82,4,843,6.5,13,0,6
15.96,210.83,9,8032,57.4,37,0,4
17.58,539.14,8,16460,71.9,17,0,3
11.71,172,11,6135,52.9,12,0,5
7.9,547.58,4,16869,62.9,15,0,6
11.71,211.69,7,7229,71.7,13,0,5
10.65,124.6,4,6970,89.4,12,0,5
7.9,657.1,6,10078,42.7,34,0,6
12.42,467.82,12,16703,74.6,26,0,5
10.65,617.27,17,25373,70.1,37,0,5
9.91,96.68,3,596,4.3,10,0,5
12.69,201.27,9,18768,66.6,27,0,5
12.42,601.48,8,18039,69.9,23,0,5
16.29,353.01,6,9906,96.2,32,0,3
15.27,73.95,5,5131,95,10,0,4
7.9,234.68,13,13550,60,26,1,6
6.62,307.04,8,30407,7.4,24,0,6
13.49,848.27,10,41044,94.6,26,0,4
9.91,515.6,7,13723,70,14,0,5
7.9,625.81,6,6264,46.4,21,0,6
14.27,123.52,12,6949,68.1,27,0,4
18.64,257.43,24,8311,33.6,41,0,2
11.71,264.61,8,6295,78.7,12,0,5
14.65,34.5,3,200,66.7,11,0,4
8.9,127.02,5,7605,85.4,11,0,6
18.25,479.96,6,24825,97.9,18,1,3
12.42,467.82,12,31281,78.6,41,0,5
14.27,575.54,18,35088,53,36,0,4
8.9,200.84,9,11015,70.6,33,0,6
13.49,448.74,16,12965,62.8,25,0,4
14.65,344.95,15,11279,62.7,21,0,4
8.9,428.67,6,7569,49.5,10,0,6
12.69,271.14,7,11082,69.3,12,0,5
7.9,303.43,8,12119,19.2,16,0,6
21.28,549.67,13,15408,78.2,21,1,1
14.27,686.18,12,19852,78.8,25,1,4
13.49,407.17,9,23043,71.8,22,0,4
10.65,438.93,9,9241,62,18,0,5
9.91,128.9,9,8800,82.2,24,0,5
16.29,264.76,6,23937,80.3,15,1,3
19.42,549.62,9,18695,72.2,22,1,2
17.27,239.99,7,13648,60.9,14,0,3
7.51,311.11,14,32010,64.1,27,0,6
12.69,124.96,6,19553,78.2,13,0,5
21.67,822.95,3,8378,89.1,4,1,1
19.42,340.24,6,11242,89.9,9,0,2
12.69,670.9,8,17491,69.4,10,0,5
9.91,322.25,6,8543,49.7,22,0,5
14.65,275.96,10,32955,85.8,31,1,4
9.91,386.7,8,10733,76.7,24,0,5
12.42,133.67,12,5561,37.6,15,0,5
20.3,259.95,5,8903,96.8,17,0,2
7.51,746.66,9,504,1.5,29,0,6
19.91,925.54,15,25584,67.9,22,0,2
16.77,77.28,11,29315,93.1,31,0,3
11.71,396.92,14,39255,75.5,34,0,5
8.9,555.69,14,14488,55.9,27,0,6
11.71,198.46,6,1006,59.2,13,0,5
17.58,201.33,5,2285,47.6,11,1,3
18.64,720.81,12,19016,78.3,38,0,2
7.9,938.71,9,2174,3.3,26,0,6
15.96,35.14,3,3968,94.5,15,0,4
12.42,795.29,10,30310,49.6,17,0,5
6.03,517.41,14,11878,16.3,32,0,6
15.27,430.78,9,12984,71.3,15,1,4
12.42,303.18,5,4143,48.2,9,0,5
